11,성안올레,관광진흥과,"2024-01-01,2024-12-31",https://www.jejusi.go.kr/storage/files/event/20240605/1717561844013_2fb8c125fee04863b0f2ae147eeecd3d.jpg,https://www.jejusi.go.kr/field/culture/festival/list.do?mode=detail&festival_id=728&currentPageNo=1
12,제16회 범도민 안전체험 한마당,제주특별자치도,"2024-09-27,2024-09-28",https://api.cdn.visitjeju.net/photomng/imgpath/202409/04/5f2f458b-dac2-4318-8ab6-184b9109882b.jpg,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_300000000013178&menuId=DOM_000001718007000000#p1
13,新 탐라 문화가 있는 날,제주특별자치도,"2024-09-25,2024-09-29",https://api.cdn.visitjeju.net/photomng/imgpath/202409/10/eddbbe58-b17d-4835-8e51-d28a323625eb.png,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_300000000013065&menuId=DOM_000001718007000000#p1
14,제3회 조천리용천수 문화곳간 축제,조천리 새마을회,"2024-09-28,2024-09-29",https://api.cdn.visitjeju.net/photomng/imgpath/202409/05/4b9a3216-a8a8-4285-a6a3-e47dd5c53827.jpg,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_300000000013181&menuId=DOM_000001718007000000#p1
15,민속자연사박물관 40주년 <박물관 가족 대축전>,제주특별자치도 민속자연사박물관,"2024-09-28,2024-09-29",https://api.cdn.visitjeju.net/photomng/imgpath/202409/06/ef322a8c-0bbc-4f62-8923-7afd462fe76b.png,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_300000000013183&menuId=DOM_000001718007000000#p1
16,2024 문화가 있는 날 실버마이크,"문화체육관광부, 지역문화진흥원","2024-09-28,2024-09-29",https://api.cdn.visitjeju.net/photomng/imgpath/202409/10/2bde339c-a391-474f-9f04-2f444945d4e1.jpg,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_300000000013135&menuId=DOM_000001718007000000#p1
17,"제3회 화북, 포구문화제",화북동축제추진위원회,"2024-09-28,2024-09-29",https://api.cdn.visitjeju.net/photomng/imgpath/202409/06/5d532a56-2c76-4e09-8583-a94551de6128.jpg,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_300000000013182&menuId=DOM_000001718007000000#p1
18,"2024 차 없는 거리 걷기 <걷는 즐거움, 숨 쉬는 제주!>",제주특별자치도,"2024-09-28,2024-09-28",https://api.cdn.visitjeju.net/photomng/imgpath/202409/05/ccc9f3bf-2e8c-4884-8055-b6e24087f23b.jpg,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_300000000013180&menuId=DOM_000001718007000000#p1
19,2024 제주청년의날,제주특별자치도,"2024-09-21,2024-09-25",https://api.cdn.visitjeju.net/photomng/imgpath/202409/03/33884e2d-4282-44a3-b589-de83022be8f5.png,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_300000000013177&menuId=DOM_000001718007000000#p1
20,제14회 산지천축제,산지천축제위원회,"2024-09-27,2024-09-29",https://api.cdn.visitjeju.net/photomng/imgpath/202409/09/3dcff7b0-0744-4df0-a6c1-1518bc31c371.jpg,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000022285&menuId=DOM_000001718007000000#p1
